Wine Type,Supplier SOH,Variety(ies),Wine Name,Vintage,RRP,Discount RRP,Winery,Website,Location,Supplier Contact Name,Supplier Contact Email,Supplier Contact Phone,Verification Note
Sparkling,,Méthode Cap Classique,Méthode Cap Classique Brut,,,,Webersburg Wine Estate,http://www.webersburg.co.za/,"XRVV+P7 Webersburg Estate, Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3636,
Rose,,Méthode Cap Classique,MÉTHODE CAP CLASSIQUE BRUT ROSE,,,,Webersburg Wine Estate,http://www.webersburg.co.za/,"XRVV+P7 Webersburg Estate, Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3636,
Rose,,Rosé,ROSÉ,2023,,,Webersburg Wine Estate,http://www.webersburg.co.za/,"XRVV+P7 Webersburg Estate, Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3636,
White,,Sauvignon Blanc,SAUVIGNON BLANC,2023,,,Webersburg Wine Estate,http://www.webersburg.co.za/,"XRVV+P7 Webersburg Estate, Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3636,
Red,,Cabernet Sauvignon,CABERNET SAUVIGNON,2017,,,Webersburg Wine Estate,http://www.webersburg.co.za/,"XRVV+P7 Webersburg Estate, Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3636,
Red,,Cabernet Sauvignon,SHOBI – Limited Collection,2018,,,Webersburg Wine Estate,http://www.webersburg.co.za/,"XRVV+P7 Webersburg Estate, Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3636,
Red,,Blend,Bastiaan Blend,2018,,,Webersburg Wine Estate,http://www.webersburg.co.za/,"XRVV+P7 Webersburg Estate, Annandale Rd, Stellenbosch, 7600, South Africa",,,021 881 3636,
Red,,,,,,,Eikendal Vineyards,http://www.eikendal.com/,"R44, Raithby, 7601, South Africa",,,021 855 1422,
White,,,,,,,Stellenbosch Hills,http://www.stellenbosch-hills.co.za/,"c/o R310 & Vlottenburg Road, Vlottenburg, Stellenbosch, 7604, South Africa",,,021 881 3828,
Rose,Not specified,Not specified,Skilpadvlei Rosé 2023,2023,R105.00,Not specified,Skilpadvlei Wine Estate,http://www.skilpadvlei.co.za/,"Skilpadvlei Farm M12 Polkadraai Road Stellenbosch, Cape Town, 7604, South Africa",,,021 881 3237,
White,Not specified,Not specified,Skilpadvlei Sauvignon Blanc 2023,2023,R125.00,Not specified,Skilpadvlei Wine Estate,http://www.skilpadvlei.co.za/,"Skilpadvlei Farm M12 Polkadraai Road Stellenbosch, Cape Town, 7604, South Africa",,,021 881 3237,
Red,Not specified,Not specified,Skilpadvlei Merlot 2022,2022,R125.00,Not specified,Skilpadvlei Wine Estate,http://www.skilpadvlei.co.za/,"Skilpadvlei Farm M12 Polkadraai Road Stellenbosch, Cape Town, 7604, South Africa",,,021 881 3237,
Red,Not specified,Not specified,Skilpadvlei ML Joubert 2021,2021,R165.00,Not specified,Skilpadvlei Wine Estate,http://www.skilpadvlei.co.za/,"Skilpadvlei Farm M12 Polkadraai Road Stellenbosch, Cape Town, 7604, South Africa",,,021 881 3237,
Rosé,Cinsault,Cinsault,Cellar Selection Rosé,2024,R528.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
White,Sauvignon Blanc,Sauvignon Blanc,Cellar Selection Sauvignon Blanc,2024,R528.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
White,Chenin Blanc,Chenin Blanc,Cellar Selection Chenin Blanc,2024,R528.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
White,Chardonnay,Chardonnay,Cellar Selection Chardonnay,2024,R528.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
Red,Merlot,Merlot,Cellar Selection Merlot,2023,R588.00,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
Red,Cabernet Sauvignon,Cabernet Sauvignon,Cellar Selection Cabernet Sauvignon,2023,R588.00,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
Red,Cabernet Sauvignon,Cabernet Sauvignon,Cellar Selection Cabernet Sauvignon,2023,R588.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
Red,Cabernet Sauvignon,Cabernet Sauvignon / Merlot,Cellar Selection Cabernet Sauvignon / Merlot,2022,R588.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
Red,Pinotage,Pinotage,Cellar Selection Pinotage,2023,R588.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
White,Sauvignon Blanc,Sauvignon Blanc,Cellar Selection Sauvignon Blanc,2024,R528.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
White,Sauvignon Blanc,Vineyard Selection,Vineyard Selection Sauvignon Blanc,2024,R978.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
White,Sauvignon Blanc,Family Reserve,Family Reserve Sauvignon Blanc,2022,"R1,794.00 / Case",,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
White,Chenin Blanc,Chenin Blanc,Cellar Selection Chenin Blanc,2024,R528.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
White,Chenin Blanc,Vineyard Selection,Vineyard Selection Chenin Blanc,2024,R978.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
White,Chenin Blanc,Family Reserve,Family Reserve Chenin Blanc,2023,"R1,794.00 / Case",,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
White,Chardonnay,Chardonnay,Cellar Selection Chardonnay,2024,R528.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
White,Chardonnay,Vineyard Selection,Vineyard Selection Chardonnay,2023,R978.00 / Case,,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
White,Chardonnay,Family Reserve,Family Reserve Chardonnay,2023,"R1,794.00 / Case",,Kleine Zalze Wine Estate,http://www.kleinezalze.co.za/,"Strand Rd, De Zalze Golf Estate, Stellenbosch, 7600, South Africa",,,021 880 0717,
Red,,Malbec,Cavalli Malbec,2023,R160.00,,Cavalli Estate,https://cavalliestate.com/,"Strand Rd, Somerset West, Cape Town, 7129, South Africa",,,021 855 3218,
Red,,Shiraz,Cavalli Shiraz,2023,R160.00,,Cavalli Estate,https://cavalliestate.com/,"Strand Rd, Somerset West, Cape Town, 7129, South Africa",,,021 855 3218,
White,,Chardonnay,Cavalli Chardonnay,2024,R260.00,,Cavalli Estate,https://cavalliestate.com/,"Strand Rd, Somerset West, Cape Town, 7129, South Africa",,,021 855 3218,
White Blend,,Reserve White,Cavalli Reserve White,2024,R285.00,,Cavalli Estate,https://cavalliestate.com/,"Strand Rd, Somerset West, Cape Town, 7129, South Africa",,,021 855 3218,
Mixed,N/A,"Merlot, Shiraz, Cabernet Sauvignon, Chenin Blanc, Sauvignon Blanc, Sauvignon Blanc/Sémillon",Mixed Case “Intro to Somerbosch”,N/A,R655,N/A,Somerbosch Wine,http://www.somerbosch.co.za/,"Die Fonteine Farm, R44, Stellenbosch, 7600, South Africa",,,021 855 3615,
Mixed,N/A,"Merlot, Shiraz, Cabernet Sauvignon",Mixed Case Red,N/A,R720,N/A,Somerbosch Wine,http://www.somerbosch.co.za/,"Die Fonteine Farm, R44, Stellenbosch, 7600, South Africa",,,021 855 3615,
